model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
Fiesta,2021,22837,Manual,20017,Petrol,120,60.2,2.5
Fiesta,2018,15312,Manual,30707,Hybrid,157,48.3,1.1
Focus,2019,13320,Manual,39110,Diesel,258,41.6,2.7
Fiesta,2021,21216,Manual,17343,Petrol,209,66,2.2
Fiesta,2017,10779,Automatic,38827,Petrol,238,34.6,2.1
Fiesta,2022,25308,Manual,41652,Diesel,279,68.2,2.2
Fiesta,2019,9581,Manual,5655,Hybrid,242,42.6,2.7
Fiesta,2019,27708,Manual,44859,Petrol,234,65.5,2.2
Focus,2021,20677,Manual,53625,Diesel,127,54.1,2.2
Fiesta,2016,13713,Manual,52098,Petrol,150,63.1,3
Fiesta,2017,24639,Manual,15251,Hybrid,285,69.4,2.5
Fiesta,2021,12804,Manual,56877,Diesel,104,41.5,1.9
Fiesta,2017,26222,Automatic,526,Diesel,104,68.4,2.4
Fiesta,2017,18136,Manual,3224,Hybrid,193,45.6,1.8
Fiesta,2022,8009,Manual,47837,Hybrid,195,45.4,1.5
Fiesta,2019,27255,Automatic,59597,Petrol,107,43.6,2.2
Focus,2018,13124,Manual,11536,Diesel,163,51.7,2.9
Fiesta,2022,9015,Manual,28541,Petrol,237,36.2,2.9
Focus,2022,10193,Automatic,13547,Diesel,137,52.1,1.7
Focus,2017,16415,Manual,51027,Petrol,210,51.7,2.1
Fiesta,2020,21550,Manual,34531,Diesel,211,60.5,1.4
Fiesta,2019,22512,Manual,8712,Hybrid,180,63.3,3
Focus,2016,12158,Manual,38565,Petrol,235,47.6,3
Focus,2022,28309,Manual,9208,Diesel,203,42.1,2.3
Focus,2018,14970,Automatic,56251,Diesel,252,40.4,2.6
Fiesta,2020,14938,Manual,5109,Petrol,172,37.8,2.4
Fiesta,2020,29168,Automatic,55796,Hybrid,293,32.3,2.2
Focus,2016,21772,Manual,49268,Hybrid,277,43.7,1.1
Fiesta,2022,28384,Manual,35201,Petrol,294,40.8,1.9
Fiesta,2018,26017,Automatic,54615,Petrol,148,68.7,2.3
Focus,2019,18344,Manual,16967,Diesel,135,52.3,2.4
Fiesta,2015,15266,Manual,57738,Diesel,225,43.9,1.7
Focus,2018,16702,Automatic,29759,Hybrid,167,53.2,2.9
Focus,2016,8384,Manual,20172,Hybrid,177,35.6,1.3
Focus,2020,8404,Manual,36935,Hybrid,204,47.8,2
Fiesta,2019,16175,Automatic,57617,Petrol,268,55,2.4
Focus,2018,23158,Automatic,26589,Petrol,221,49.6,2.4
Fiesta,2015,20763,Automatic,30015,Petrol,218,46.1,2.3
Focus,2015,26384,Manual,29009,Hybrid,289,69.8,1.6
Fiesta,2017,17860,Automatic,17773,Hybrid,213,65.2,1.3
Focus,2017,13989,Manual,41125,Hybrid,109,54.9,2.3
Focus,2021,23106,Manual,26143,Hybrid,248,52.8,2.2
Fiesta,2016,25844,Automatic,6154,Petrol,263,54.8,1.4
Fiesta,2022,11636,Automatic,21804,Diesel,239,38.1,2.4
Fiesta,2018,18916,Manual,41688,Petrol,190,45.8,1.9
Fiesta,2018,12809,Manual,51195,Diesel,101,31.6,2.3
Focus,2022,28562,Automatic,20581,Diesel,217,49,2.7
Fiesta,2021,21456,Automatic,52648,Petrol,112,51.7,1.3
Fiesta,2020,23444,Automatic,30087,Petrol,280,39.1,1
Fiesta,2020,13997,Manual,49930,Petrol,259,68.6,2.6
Focus,2021,10048,Automatic,32981,Hybrid,194,66.4,2.2
Focus,2020,20338,Automatic,3762,Petrol,243,58.9,2.4
Focus,2017,29164,Manual,46167,Hybrid,131,51.3,2.7
Focus,2018,25100,Manual,9768,Diesel,131,64.8,2.6
Fiesta,2021,29949,Automatic,43408,Petrol,223,35.2,2.9
Focus,2018,12544,Manual,39499,Hybrid,110,61.6,2.1
Focus,2022,12976,Manual,52269,Hybrid,109,35,2
Fiesta,2015,20775,Manual,38559,Hybrid,114,61.8,1.8
Focus,2017,18015,Automatic,48590,Petrol,116,41,1.3
Fiesta,2019,11419,Automatic,8783,Diesel,267,65.1,2.1
Fiesta,2017,22430,Automatic,46389,Petrol,245,67.8,1.6
Fiesta,2021,15239,Automatic,29781,Hybrid,282,36,2.8
Fiesta,2019,22489,Automatic,30811,Diesel,300,48.5,2.2
Focus,2015,24633,Automatic,48787,Diesel,252,69.2,2.2
Focus,2021,18357,Manual,35488,Diesel,158,49.3,1.7
Focus,2016,25154,Manual,8905,Diesel,177,64.5,1.1
Fiesta,2018,12363,Manual,9127,Hybrid,223,53.5,1.1
Focus,2015,18176,Automatic,22431,Hybrid,213,45,1.8
Fiesta,2018,25461,Automatic,57184,Diesel,121,41.4,1.2
Fiesta,2020,16427,Manual,49153,Diesel,257,38.1,2.2
Fiesta,2016,16580,Automatic,6368,Diesel,271,60.5,2.8
Focus,2016,12858,Automatic,27424,Diesel,131,45.5,2.8
Focus,2015,18040,Automatic,46824,Hybrid,278,50.5,2.3
Focus,2016,29103,Automatic,45004,Diesel,273,49.7,1.4
Fiesta,2019,27198,Automatic,18333,Diesel,212,53.1,2.7
Fiesta,2016,27758,Manual,23116,Petrol,219,64.6,2.8
Focus,2018,23254,Automatic,47219,Hybrid,248,69.2,1.4
Fiesta,2018,19470,Automatic,56985,Diesel,221,46.3,2.5
Focus,2021,9252,Automatic,50069,Diesel,131,63.1,1.6
Focus,2018,14996,Automatic,52326,Petrol,218,60.6,2.6
Focus,2021,20173,Automatic,43201,Diesel,138,52.9,3
Fiesta,2018,12673,Manual,15525,Diesel,111,68.2,1.1
Focus,2019,28914,Automatic,23398,Diesel,274,38,2.8
Fiesta,2022,23781,Manual,32857,Petrol,117,34.4,2.2
Fiesta,2021,21051,Manual,50861,Hybrid,248,64.2,2.9
Focus,2017,14881,Manual,10361,Petrol,240,47.6,1.9
Focus,2020,14949,Manual,16369,Hybrid,248,63.9,2.7
Focus,2015,17521,Automatic,3041,Petrol,225,65.7,1.1
Focus,2018,16017,Manual,105,Petrol,235,32.5,1.7
Fiesta,2016,14941,Automatic,9078,Diesel,145,65.3,1.1
Fiesta,2022,18209,Manual,25003,Hybrid,203,47.9,3
Focus,2018,25715,Manual,51047,Hybrid,234,50.4,2.6
Fiesta,2016,28645,Automatic,6090,Hybrid,250,55.1,2.7
Fiesta,2020,17550,Manual,57660,Hybrid,185,67.1,2.9
